ts,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z
unknown,0.4457973,0.70725894,7.004509e-08,0.4265045,0.64266443,-0.007995066,0.39401293,0.58628166,-0.019766835,0.36422646,0.5456452,-0.029596437,0.34796757,0.5094465,-0.04139202,0.37148848,0.6153393,-0.04008233,0.3115162,0.632351,-0.05743373,0.27522588,0.647179,-0.06669908,0.248402,0.66145444,-0.07196225,0.37143862,0.66231304,-0.04407292,0.2998954,0.6837278,-0.060781773,0.2586668,0.69882655,-0.06861917,0.22916651,0.71126384,-0.07422112,0.3709683,0.70501673,-0.046685312,0.30537057,0.72095895,-0.059548654,0.26613396,0.7308673,-0.06317829,0.23712306,0.739206,-0.065283604,0.3703174,0.7423423,-0.049052667,0.31637716,0.74925995,-0.058326367,0.28511417,0.7524923,-0.05937158,0.25955683,0.7548795,-0.059213728
unknown,0.44781673,0.7079351,7.235224e-08,0.42735344,0.64453036,-0.008003488,0.39407933,0.5872088,-0.020170424,0.3638166,0.5456056,-0.030446617,0.34741864,0.5074486,-0.042827558,0.37188813,0.6146017,-0.040316194,0.31108966,0.63300645,-0.05809093,0.27450454,0.64819837,-0.06778327,0.24753869,0.6624641,-0.073296465,0.37235862,0.66090375,-0.044599783,0.3000236,0.6830253,-0.06149536,0.258261,0.69869035,-0.06949527,0.22848184,0.71181804,-0.075301684,0.37194613,0.70445675,-0.047540016,0.30516353,0.7205306,-0.06057065,0.2649961,0.73097265,-0.06431358,0.23545127,0.7398162,-0.06661377,0.3710295,0.7438795,-0.050195955,0.31626856,0.75030464,-0.05937359,0.28495964,0.75264513,-0.060270023,0.2592829,0.75410604,-0.060139205
unknown,0.4482072,0.7053236,7.194325e-08,0.42789415,0.6413032,-0.0086159725,0.39495134,0.58457744,-0.02087062,0.3638126,0.5448406,-0.031023398,0.34739932,0.5075182,-0.043196138,0.3724839,0.6159521,-0.0414337,0.31228542,0.6331739,-0.059269316,0.27537024,0.64760303,-0.0687962,0.24781916,0.66177005,-0.074265674,0.37202597,0.6632132,-0.045392063,0.30029494,0.68421644,-0.06264702,0.2585364,0.69862807,-0.0706783,0.22854608,0.7106981,-0.07643476,0.3715697,0.7060621,-0.04796225,0.3056797,0.7217792,-0.06143861,0.26567385,0.7308283,-0.06533796,0.23590185,0.73876655,-0.0676676,0.37132072,0.74368083,-0.05027331,0.31702074,0.7500107,-0.059929907,0.28519547,0.7522491,-0.061173156,0.25877365,0.7538929,-0.06122667
unknown,0.4484135,0.7075261,8.336647e-08,0.42776096,0.6434229,-0.007817168,0.39423463,0.58708966,-0.019953996,0.36424324,0.54622436,-0.030128561,0.34794062,0.5099807,-0.042161323,0.371997,0.61445796,-0.04085213,0.3108721,0.63240856,-0.05870487,0.2741655,0.64774114,-0.06799586,0.24729547,0.6624487,-0.073052004,0.37255347,0.66095364,-0.045106843,0.29912597,0.68389595,-0.06222508,0.25690943,0.69971937,-0.069444604,0.22712657,0.71267265,-0.07432723,0.37247163,0.7039679,-0.048006024,0.30509287,0.72124594,-0.061150745,0.2652952,0.7316197,-0.06408261,0.2363392,0.74002737,-0.065436825,0.37192634,0.74223787,-0.050645072,0.31673086,0.74957174,-0.05997181,0.2851424,0.7531771,-0.06043132,0.25960302,0.75595284,-0.059628032
unknown,0.44581968,0.7034692,7.353831e-08,0.42625955,0.6401351,-0.008701769,0.39392695,0.5841736,-0.021121953,0.3637825,0.5439447,-0.03151913,0.34760243,0.5065951,-0.043977663,0.3720776,0.61468416,-0.041556366,0.3124662,0.63287985,-0.059405893,0.275852,0.64760447,-0.069142684,0.24847865,0.6617061,-0.07482164,0.37196285,0.6617611,-0.045594458,0.3005285,0.683246,-0.06273412,0.25859,0.69814306,-0.070915535,0.22834462,0.7108887,-0.0769585,0.3713973,0.70473546,-0.0482431,0.30587953,0.7201274,-0.0615003,0.26607606,0.729882,-0.06534304,0.2365235,0.7385024,-0.067783535,0.37090296,0.7426482,-0.050684124,0.31721008,0.7489476,-0.060162008,0.28581718,0.7515188,-0.061289147,0.26001254,0.7536478,-0.06138303
unknown,0.4469242,0.70354545,7.606955e-08,0.42590547,0.6405928,-0.007669991,0.39314914,0.5856921,-0.019700818,0.36361128,0.54523516,-0.029838322,0.34792605,0.5089979,-0.041935407,0.37166288,0.61472493,-0.040779702,0.31163716,0.6321713,-0.058379795,0.27512527,0.64693445,-0.06764342,0.24817815,0.66090345,-0.07288795,0.37219155,0.66088355,-0.045076724,0.30047154,0.6832289,-0.062116083,0.258587,0.6982906,-0.069649704,0.22863257,0.71057403,-0.07498096,0.37197876,0.703119,-0.047955997,0.30570027,0.7198946,-0.061130714,0.26600164,0.7298969,-0.06451949,0.236615,0.7379067,-0.06638079,0.37143838,0.74020344,-0.050551455,0.3169364,0.74853015,-0.059931338,0.285536,0.75191414,-0.06079724,0.25996238,0.75394267,-0.060498722
unknown,0.44664064,0.7058278,7.9136704e-08,0.42636898,0.64199656,-0.008521885,0.39322245,0.5867001,-0.020682795,0.36374187,0.5456685,-0.030837255,0.3478448,0.50909007,-0.042838592,0.37216237,0.6151997,-0.041070968,0.3123333,0.6325992,-0.058796268,0.2755623,0.64720196,-0.06814281,0.24814287,0.6611467,-0.07347035,0.37232247,0.66174597,-0.04494163,0.30092025,0.68377507,-0.06198828,0.25861272,0.69826204,-0.069663525,0.22806075,0.7102371,-0.07514117,0.37177068,0.7040538,-0.04750549,0.30623385,0.7206516,-0.060618326,0.26643774,0.7300918,-0.06424888,0.23679172,0.737739,-0.06632221,0.3709508,0.7407162,-0.04991454,0.31723976,0.748296,-0.059377294,0.28573418,0.7515588,-0.06062532,0.25994927,0.7537223,-0.060613632
unknown,0.4464724,0.70813817,8.791658e-08,0.42688084,0.64338386,-0.008749546,0.3937219,0.58638746,-0.021071134,0.36394113,0.54508847,-0.031424366,0.34758666,0.50741094,-0.04377509,0.37210974,0.6154493,-0.040852297,0.31218758,0.6324593,-0.058835547,0.275706,0.64713573,-0.06860949,0.24869727,0.6610256,-0.07415362,0.3720453,0.66255486,-0.044863354,0.30015546,0.6831695,-0.061853763,0.25780618,0.6981765,-0.06979889,0.22762944,0.7106357,-0.07549524,0.3712525,0.70614696,-0.04762593,0.30476648,0.72033846,-0.06087988,0.26488775,0.73002946,-0.06452854,0.2357404,0.7379592,-0.06659681,0.3702306,0.74487627,-0.050204456,0.31579983,0.7499451,-0.059752323,0.28453735,0.75208503,-0.060691547,0.25928193,0.7533838,-0.060409866
unknown,0.44692326,0.7043777,7.23078e-08,0.42682883,0.640768,-0.008033307,0.39498723,0.58460706,-0.01988446,0.36444306,0.5443737,-0.029869692,0.34768564,0.5072086,-0.04184271,0.37144232,0.6149894,-0.039153468,0.31196505,0.63251436,-0.05636224,0.27539614,0.64711255,-0.06571176,0.24799903,0.66088444,-0.071084455,0.37102604,0.6616092,-0.04320009,0.30018276,0.6832034,-0.05957422,0.25869447,0.69797134,-0.06729648,0.22865435,0.7099714,-0.07297237,0.37048793,0.70444673,-0.045955785,0.30535972,0.7202606,-0.05868179,0.26599592,0.72995424,-0.062107176,0.23657766,0.73814887,-0.06421362,0.37000197,0.742635,-0.048499625,0.31628892,0.7495379,-0.05770298,0.28468692,0.752413,-0.058663953,0.25853175,0.7545555,-0.058514036
unknown,0.44714677,0.7042821,8.364365e-08,0.4263487,0.6416199,-0.0073650605,0.3934655,0.5863689,-0.019287435,0.36392677,0.54524004,-0.029454704,0.34819922,0.5086184,-0.04159164,0.37153777,0.6147473,-0.040162895,0.3112757,0.63151914,-0.057945803,0.2746486,0.64569855,-0.067438394,0.24765289,0.65958005,-0.07276147,0.37170523,0.6606316,-0.04465376,0.29984176,0.68189615,-0.06182176,0.25768167,0.69662017,-0.06948429,0.22748531,0.70926857,-0.07482769,0.3711086,0.70303804,-0.0477506,0.30495703,0.7192361,-0.06071575,0.2653151,0.7291031,-0.063982986,0.23614553,0.7373725,-0.06576953,0.37032163,0.74089026,-0.050594427,0.31614286,0.7483056,-0.05966237,0.28500664,0.75152326,-0.06032951,0.25979102,0.7539109,-0.05988569
