ts,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z
unknown,0.4382486,0.7165147,-3.3600324e-07,0.41099858,0.6490517,-0.0024222052,0.36952698,0.57913876,-0.012375967,0.3342495,0.52347356,-0.022865405,0.31987795,0.47361457,-0.034414157,0.38230762,0.53647107,-0.025934212,0.3157644,0.5227196,-0.048295427,0.27318242,0.5186119,-0.06009891,0.23908186,0.51526654,-0.06824442,0.38978863,0.5654485,-0.034809098,0.30393326,0.6063013,-0.05736042,0.3177143,0.63558215,-0.05598029,0.3407483,0.6353603,-0.055080492,0.3910591,0.6103047,-0.04430456,0.3104091,0.64690864,-0.066083655,0.3270893,0.670752,-0.055053286,0.3499421,0.6659384,-0.04675235,0.38892615,0.6590288,-0.053709175,0.32466808,0.68540686,-0.070733465,0.33801827,0.70102334,-0.06582536,0.3584089,0.6957476,-0.060769517
unknown,0.35855845,0.7422267,4.6249227e-08,0.3077404,0.74271214,-0.015242927,0.25911412,0.71818984,-0.02912012,0.2291718,0.68557227,-0.045771208,0.24231477,0.65000606,-0.06196755,0.2700636,0.59581864,-0.0025264644,0.234063,0.5494618,-0.021901118,0.21652244,0.54247653,-0.040217947,0.21057704,0.5409135,-0.052739747,0.2924403,0.5775809,-0.012110058,0.25612807,0.50017273,-0.031874374,0.21748684,0.47661817,-0.049416464,0.18878886,0.47320908,-0.060278855,0.3191358,0.57641613,-0.025963394,0.28029487,0.49950022,-0.053373225,0.23711225,0.5000699,-0.07144339,0.20789878,0.5169492,-0.07998607,0.3433584,0.5923597,-0.04055156,0.29871503,0.55760175,-0.06525116,0.2703965,0.58193374,-0.07464617,0.25222635,0.6163286,-0.07875306
unknown,0.48909354,0.7018584,-1.12914755e-07,0.45037487,0.6316694,0.0013382243,0.4365567,0.5967608,-0.029879777,0.42441463,0.57650083,-0.06476875,0.4135041,0.5533732,-0.10091137,0.49527034,0.5466667,-0.068413265,0.4448096,0.5215354,-0.10520847,0.4046306,0.524709,-0.11665165,0.3711842,0.53811276,-0.12082253,0.5004375,0.5803626,-0.0919134,0.44869184,0.544918,-0.13528968,0.40585858,0.558098,-0.13504635,0.38022017,0.5695952,-0.12941425,0.49998057,0.61806685,-0.11296972,0.439417,0.5994699,-0.1405074,0.42551178,0.62789416,-0.113685176,0.43275443,0.64523673,-0.09256224,0.4938953,0.65260065,-0.13471998,0.4433033,0.64082104,-0.14850606,0.43325016,0.6565967,-0.1289223,0.44456872,0.667742,-0.112048574
unknown,0.37888113,0.7359817,-5.628783e-08,0.334146,0.7131627,-0.039141748,0.30236682,0.6750493,-0.07504388,0.27103513,0.6595733,-0.10714021,0.23577428,0.64777327,-0.14186364,0.3464063,0.61334187,-0.090964995,0.31582218,0.5996158,-0.13560764,0.29127738,0.64139825,-0.16506842,0.26274735,0.6934056,-0.18207015,0.37990278,0.62545943,-0.094165176,0.37823588,0.5757246,-0.13790073,0.36803314,0.5629826,-0.16850312,0.34959608,0.56399065,-0.1911692,0.40844563,0.64859545,-0.09838775,0.42039135,0.5952462,-0.1352504,0.4185816,0.5784604,-0.16040224,0.40817994,0.5762583,-0.17947763,0.43042132,0.68615675,-0.10418103,0.45385534,0.6571775,-0.13378409,0.4610099,0.6429702,-0.1500948,0.4575235,0.63329524,-0.16418041
unknown,0.47013396,0.5661706,-4.0575267e-07,0.40987542,0.56979764,-0.010520655,0.36656526,0.57157284,-0.029270312,0.3331477,0.5860381,-0.050242227,0.3038387,0.6043903,-0.070887946,0.36718398,0.4594512,-0.026283095,0.3201992,0.46223927,-0.060513385,0.3025968,0.49878928,-0.08450536,0.29481423,0.5367474,-0.09720564,0.39254674,0.4511015,-0.036382034,0.34392387,0.46562648,-0.07098106,0.33050075,0.52505624,-0.08419279,0.332351,0.56606436,-0.08903048,0.42127654,0.4589112,-0.049231097,0.37959498,0.46425617,-0.08064526,0.36211815,0.51830506,-0.08293332,0.36152357,0.55602294,-0.0785154,0.44776464,0.47975358,-0.062746845,0.4116828,0.47902125,-0.08464551,0.38844827,0.5149534,-0.08542273,0.37947175,0.5423895,-0.081694625
unknown,0.34723577,0.7589209,5.974629e-07,0.3111858,0.7361605,-0.017313642,0.2753549,0.7079525,-0.032486144,0.24309142,0.7171205,-0.048412044,0.2130869,0.743709,-0.06730253,0.28864637,0.5826565,-0.02163615,0.25657415,0.520633,-0.037478115,0.23803006,0.48079014,-0.0513641,0.22331381,0.44830403,-0.062238123,0.32510212,0.567427,-0.030535515,0.32549086,0.4750919,-0.04083639,0.33077326,0.41586906,-0.053544767,0.33670273,0.3724228,-0.06347408,0.3584547,0.5827188,-0.0419949,0.3747228,0.5022207,-0.058129247,0.3854995,0.4516837,-0.075756766,0.39381957,0.41097125,-0.08831823,0.38630545,0.6179536,-0.05455656,0.41174096,0.5861305,-0.07190866,0.42737043,0.56448436,-0.07953689,0.4380703,0.54634047,-0.08451844
unknown,0.45895484,0.62552536,-1.2717734e-07,0.41407192,0.59095174,0.0016365774,0.392186,0.535056,0.007415995,0.3827707,0.48940447,0.009179715,0.36900184,0.4593722,0.011682005,0.4191394,0.50206333,0.036498893,0.40687045,0.46761212,0.03210886,0.38891977,0.4576124,0.023113376,0.37009487,0.45802134,0.018373515,0.44295353,0.49413043,0.031221539,0.43044347,0.45725524,0.020304954,0.4115644,0.45579135,0.0030699444,0.3937092,0.46628675,-0.004817808,0.46844217,0.49006942,0.023171293,0.4593275,0.44800115,0.0107755605,0.4357175,0.4470667,-0.0015548676,0.416458,0.4589966,-0.0047408333,0.4965894,0.489258,0.015319899,0.5005098,0.43775982,0.0097767245,0.49774086,0.4029087,0.0050074654,0.49300894,0.37707514,0.003783262
unknown,0.44883034,0.67723584,-1.1294066e-07,0.41379637,0.6167598,-0.010546165,0.39960417,0.5398833,-0.021846045,0.386667,0.48494437,-0.0351985,0.368021,0.43685824,-0.049084783,0.47217917,0.49600342,-0.007464864,0.47795594,0.44575387,-0.031275094,0.47179115,0.41549158,-0.05381524,0.46067616,0.3939081,-0.070405304,0.49437448,0.51802504,-0.019095615,0.5021027,0.46130955,-0.04904246,0.4856853,0.4320209,-0.07177508,0.46321243,0.41558364,-0.08523615,0.50947315,0.5519134,-0.033949655,0.5131861,0.49993807,-0.06341694,0.495575,0.4682036,-0.079250745,0.47451243,0.44768786,-0.086624414,0.51644367,0.59316605,-0.049599614,0.507213,0.5456507,-0.076011755,0.49253428,0.51336586,-0.08896318,0.47739282,0.4866377,-0.095771745
unknown,0.3518258,0.77671915,5.9871337e-07,0.31266385,0.75698507,-0.015951388,0.27409443,0.7315589,-0.030813286,0.2400187,0.74402934,-0.04673244,0.2091614,0.7746228,-0.06590776,0.28173125,0.60279673,-0.02291627,0.24359787,0.54207385,-0.03833938,0.22267258,0.50568026,-0.051389918,0.20619524,0.4745291,-0.06169554,0.31778288,0.58260214,-0.03310871,0.31410238,0.48506284,-0.042640563,0.31764236,0.42370397,-0.05517837,0.32284328,0.37877834,-0.06494588,0.35233766,0.59519756,-0.04540132,0.3678531,0.50901395,-0.06171001,0.37961602,0.4585533,-0.080567926,0.389105,0.4179498,-0.09422238,0.3817995,0.63000137,-0.058459602,0.40744227,0.6025329,-0.07704554,0.42000878,0.58812666,-0.08527131,0.42789716,0.57656336,-0.09059058
unknown,0.33773097,0.748927,-1.55671e-07,0.29314202,0.6782012,0.0062978975,0.276992,0.61567545,-0.012572199,0.24453491,0.5761155,-0.038311955,0.20630987,0.5370919,-0.069626704,0.33749062,0.5642207,-0.03631558,0.29271224,0.51250106,-0.08046782,0.25623065,0.5130525,-0.11692112,0.21943578,0.5238717,-0.14179578,0.35511637,0.5815543,-0.06661947,0.35162026,0.5004243,-0.1070858,0.329077,0.45501673,-0.13879782,0.30167645,0.41998976,-0.16411233,0.36897412,0.61736286,-0.09772769,0.38790166,0.5383337,-0.13563104,0.37171304,0.4937876,-0.16408,0.35080737,0.4605391,-0.18651342,0.3769105,0.66048473,-0.12703873,0.39845008,0.62280995,-0.16499466,0.39423773,0.5837978,-0.18905425,0.38235432,0.5478349,-0.20821004
